Name,About
Tai Beauchamp,"Tai Beauchamp is an award-winning TV host, producer, and serial entrepreneur who innately connects and empowers women. 

Tai has worked in partnership with major brands such as: Target, Dove, BET, TV One, Lexus, Audi, Shea Moisture, Walmart, Revlon, L’Oreal, Ebony, Hilton, Cover Girl and many more.

Tai is a Co-Founder of BROWN GIRL jane, the first and preeminent plant-based beauty and wellness collection centering women of color. In less than 2 years, BROWN GIRL jane has garnered more than 36 billion media impressions. 

A wellness authority, Tai’s latest project is Morning Mindset with Tai (MMWT) a community, event series, and multi-media offering focused on helping women center their spirits, hearts and minds. 

Tai’s expertise expertise in media, fashion, and beauty has been solidified through her experience as an editor at top publications such as: Harper’s Bazaar, Good Housekeeping and O, The Oprah Magazine. Tai was also an executive level editor at Seventeen—where she made history as the magazine's youngest and first African-American beauty and fitness director. 

I can advise on:
- career advice 
- styling tips
- the business of media
- starting and running a business

I love helping others and can’t wait to answer your questions!"
Nerida Joy,"Renowned skin expert Nerida Joy has performed more than 100,000 facials in her over 45-year international career. She's known for the way she transforms her client’s skin by pinpointing specific concerns and designing custom treatment plans to deliver fast results.

Beyond her successful client work, Nerida has established multiple five-star luxury spas world-wide and is a sought-after keynote speaker at major esthetics conferences across the country, sharing her expertise and industry insights. 

What to expect from your custom session with Nerida:
* In advance of your session, send at least two photos.
* She will analyze your skin type and sub-conditions, plus any dietary issues affecting your skin 
* You can discuss your skin concerns and get customized expert advice
* She'll design a complete morning and evening homecare regimen for your individual needs"
Adrian Koehler,"Leadership is about effective presence. And you know you are nowhere near your capacity. 

I coach only brilliant and ambitious leaders who want to know how their BS is stealing from their bottom line, meaning, and joy in the process. 

If you’re restless and relentless, let’s talk about the art and science engagement to get your best game to the table, equip a team for resilience and deliver unprecedented results. 

I have trained and developed leaders at US Navy SEALs, NIKE, Virgin Hyperloop One, Herschel Supply Co., Smarty Pants Vitamins Oprah Winfrey Network, Jeni’s Ice Cream, Gavin DeBecker & Associates, Siegel & Gale, UCLA & others.

Bring your challenges and biggest complaints. We’ll clean it up quickly. 

Expertise:
:: mastering yourself first
:: building fully engaged teams
:: generating leadership accountability
:: hiring and firing with excellence
:: how to talk about hard things
:: keeping top talent"
Janet Gunn,"Actor, influencer, content creator, blogger & consultant speaker

On🎥AppleTV Everyone is Doing Great

Founder of Grateful Gardenia, a lifestyle blog covering fitness, wellness, fashion, travel, motherhood, & more. Former Dallas Cowboys Cheerleader. 

Over 100k+ followers on Instagram (@janetgunngratefulgardenia)

Things I can advise on:
- acting
- the entertainment industry
- content creation 
- blogging
- influencing
- partnerships
- collaborations

Looking  forward to helping you on your business journey 😊"
Koya Webb,"Celebrity Yoga + Holistic Life Coach and Founder of @getlovedup

Feat: Goop, Forbes, NBC, CBS, the Steve Harvey Show, Oxygen and countless others

Clients: Stevie Wonder, India Arie, P. Diddy, Ashley Judd, Rev Michael Bernard Beckwith and Les Brown

Certifications: Over 15 years of holistic studies. Registered RYT 500 yoga teacher, (with certifications in Ashtanga, Rayoka, SUP, AcroVinyasa and AYfit), NASM certified for personal training, and certified by The Institute for Integrative Nutrition (IIN).

Prev: an Olympic Track + Field athlete, then Koya was introduced to yoga after a debilitating track injury. Once recognizing the physical and mental benefits of yoga, she shifted her focus to yoga, personal training, & life coaching 

Things I can advise on:
- wellness 
- yoga
- nutrition
- holistic healing
- life coaching
- how to shift your mindset
- entrepreneurship
- podcasts
- mental health (for athletes)
- building community
- sustainable beauty
- eco friendly lifestyle choices

I love helping others and can’t wait to help you along your life’s journey!"
Kristel de Groot,"Co-Founder of YourSuper.com + Certified Plant-based Health Coach

Michael, my now husband, had cancer at age 24. After chemo he was anything but healthy, I put him on detoxes, a plant based diet and have him lots of superfoods. Realizing that many more people need help, we started started Your Super in 2014. We created functional superfood mixes that make eating more plants and improving your health easier! 

Forbes & Inc 30 under 30

Things I can advise on:
- scaling startups 
- dtc expertise across us & eu 
- digital marketing
- food innovation
- nutrition 
- health
- personal growth
- female empowerment

I love helping others, whether it is in supporting your starting or growing your business or helping you get healthier… I can’t wait to help you along your journey!"
Jenn Lim,"I’m the bestselling author of Beyond Happiness, and the CEO and Cofounder of Delivering Happiness [DH]. My mission is to teach businesses how to create workplaces—led with happiness and humanity—that generate more profit, sustain all people at every level of the organization, and share how we can make an impact by being true to our authentic selves. In 2017, I was selected to be on the Global Happiness Council of Work and Wellbeing and in 2020, Delivering Happiness was placed on the Inc. 5000 list, becoming one of the fastest-growing private companies in the US.

Notable:

I’ve launched two bestselling books—Delivering Happiness in 2010 and authored Beyond Happiness: How Authentic Leaders Prioritize Purpose and People for Growth and Impact in 2021. Together they’ve sold over a million copies and have been translated into 30 languages, impacting people and workplaces worldwide. I’ve been featured in Time, Inc., Forbes, Fortune, Entrepreneur, Fast Company, Thrive Global, MSN, Fox Business, CNBC Make It, Success Magazine and named World’s Top 50 Speakers of 2023 by Real Leaders. 

Things I can advise on: 

-How to invest in culture and people that leads to positive ROI.

-Creating a framework for a more sustainable workplace since the world got 2020’d.

-How to run companies with remote/hybrid/in-office team members in multiple countries. 

-How to authentically bring purpose and values into the workplace. 

-How to nurture your own greenhouse while growing others."
Catherine McCord,"Catherine McCord is the founder of Weelicious, a community showing parents how easy it is to expose children to wholesome, homemade food. She’s the author of 3 cookbooks for families and in 2015 launched One Potato, the first home meal delivery kit service focused specifically on dinnertime needs for families. 

I can advise on the following: 
- Healthy recipes
- Making kids great eaters 
- Blogging
- Community building 
- Social media
- Startups
- Parenting

I love helping people and can’t wait to answer your questions! 🤗"
Holly Martin,"Holly is a former professional dancer turned ultra runner and CrossFitter. She’s run 12 marathons, four 50Ks, two 50 milers, and most recently her first 100 miler (in under 24 hours!). Certified by the National Academy of Sports Medicine, she is a top-of-the-line personal fitness trainer and run coach, based in Nashville, TN. You also may know her as “Coach Holly” on YouTube.

Taking a lot of her own inspiration from ex-Navy Seal David Goggins, she prides herself on being able to transform even the most stubborn of minds. Whether you’re the busy, stressed out mom looking for routine, or the ex-athlete 50-something looking to crush your next race, she’s got you covered from building confidence to lifelong training habits. 

Having worked closely with Kelly Starrett of The Ready State/MobilityWOD, she is also well equipped to advise on a wide range of injuries, or that nagging ache/pain. 

If you want to change the way you think about yourself, talk to Holly!"
Lacey Stone,"As a Psychological Fitness Specialist and the founder of Lacey Stone Fitness, my mission is to inspire individuals to achieve optimal success in all aspects of their lives from the inside out.

My programs are centered around taking individuals from saying “I can’t” to “I can”, and changing their bodies and lives forever. With personalized food programs, we strive to inspire people to be the best version of themselves inside and out. 

I’ve enjoyed frequent appearances on national news and networks, demonstrating turbo-charged fitness programs, signature workouts, and offering nutritional advice on shows from The Today Show and Good Morning America to Dr Oz and CNN.

I’m looking forward to meeting you & helping you crush your fitness goals! 👊"
Barri Leiner Grant,"Grief Specialist/Certified Grief Coach (ICF), as featured in The Washington Post, speaker, author, hosting worldwide grief groups. Celebrity and politician trusted. 

I will coach you through the modalities and tools needed to manage loss of every incarnation. 

Proprietary grief tending tools to weed, water and nurture your path &  journey. 

Learning to live with loss and find joy is the centerpiece of my coaching philosophy and foundation of TMC practice. Our one-on-one meetings offer safe space and gentle guidance. 

Getting grief-y is easier with me by your side. All of yourself and all of your grief are welcome here. 

Since my mom, Ellen Jane died suddenly in the summer of 1993 of a brain aneurism, I believe that grief stories and loss need a better place to live in modern society.    

How I can help:
-1:1 tools & guidance to support your personal loss  
-Grief relief 
-How to support yourself, family and work associates 


all loss matters:
•family and friend loss
•job loss
•fertility issues
•divorce
•illness
•caretaking 

The answer to what ""grief relief"" can feel like mind, body & soul. 

X, B 🤍"
