Name,About
Victoria Sass,"An award winning interior designer, Victoria founded Prospect Refuge Studio in 2015.

Featured in: Architectural Digest, Elle Decor, Clever, Business of Home, & more

Based in Minneapolis, where turn-of-the-20th-century Craftsman-style houses dominate the vernacular, Victoria has carved out a niche transforming “old homes for young families.” 

Her work is best known for being decidedly varied, mixing contemporary furnishings with family heirlooms and layers of bucolic patterns, in rooms that cordially defy categorization.

Growing up between California and Minnesota, her personal aesthetic may be visible at times and channels a childhood in the bohemian surf town of Santa Cruz and an architectural education in Copenhagen

Things I can advise on:
- advice on floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding 
- creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Elisa Baran Tréan,"Renowned Interior Designer based in NYC

Specializing in high-end commercial and residential projects

Features: Arch Digest, Forbes, WSJ, AD Pro, NY Times, Domino, & more

Her firm is known for their custom furniture, sourcing one-of-a-kind objects and mixing high & low pieces to create an atmosphere that clientele can consume forever. A combination of brutalism & wabi-sabi aesthetics, mixed with a cozy environment, is the best way to describe the firm’s design style. 

Things I can advise on:
- floor plan layout 
-best stores to source vintage in your area
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- how to mix high & low furniture properly
-exterior design
-how to communicate with your contractor and hire the right people
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers (including boosting your revenue in various ways)
- cabinetry and built-ins
-product branding
-creative direction 
- and more!

Looking forward to helping you on your design project and beyond! xx"
Ashley Clark,"Renowned Interior Designer 

Our style is the Southern California Coast lifestyle, elevated. It’s laid-back, lived-in, and timeless. We call it low-key luxury. Our designs are easy to live in and look at—stuff is minimal, art is fun, and everything is meant to be enjoyed. 

Featured in: Domino, Luxe Magazine, HGTV Magazine, Country Living, Rue, Reveal Magazine and Interiors CA, & more

Things I can advise on:
- advice on floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding 
- creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Keita Turner,"Keita Turner is a NYC + STL based award-winning and nationally published interior designer who creates Enduring Fashionably Classic Designs.  A graduate of the Rhode Island School of Design, Keita Turner has an extensive background in both fashion and interior design.  Her acclaimed full-service interior and product design studio, Keita Turner Design, specializes and offers expertise in residential and commercial interior design, with a focus on full-scale renovations, new build construction, and fully furnished surroundings.  Working closely with architects, builders, contractors, artisans, and custom furniture makers, Keita Turner Design has produced environments for numerous high-profile clients across the country and beyond.  

HONORS AND AWARDS:
- Andrew Martin Interior Design Review World’s Top 100 Interior Designers of 2022
- Traditional Home Magazine NEW TRAD Rising Stars of Design 2022.  
- HGTV Designer of the Year - 2022 Nominee and Category Winner
- Black Interior Designers Network Top 20 Designers (BIDN).  
- New York Cottages and Gardens Magazine Innovation in Design Awards (NYC&G-IDAs) Finalist and Honoree.  
- International Design Awards (IDA) Honoree and Prize Winner.

FEATURES: 
WSJ, NYT, ABC, CBS, Architectural Digest, Elle Decor, House Beautiful, Vogue, Traditional Home, Good Housekeeping, New York Magazine, Brownstoner & more

NOTABLE CLIENTS: 
John Legend, Sharon Pratt (former DC Mayor), Patricia R. & Reverend Calvin O. Butts, III, Henry Carrier (former COO of S&P Global)

DESIGN PHILOSOPHY:
“My design philosophy is about creating surroundings that will play a beneficial and spiritually uplifting role in my client’s lives!  I am an interior designer whose business and passion is about creating transformative, fashionably enduring designs that are clean and functional, warm and inviting, suitable and inspirational, but most importantly that uplift the human spirit.  Using the client’s lifestyle as my canvas, I design environments that both adapt to and convey the motivations, ethos, and habitudes of my clients.”  

THINGS I CAN ADVISE ON: 
- Interior Design Advice
- Furniture and Spatial Layouts 
- Store + Brand Resources to Consider
- Styling (surfaces, sofas, beds, walls etc.)
- Color Palettes and Schemes
- Paint/Wall Treatments 
- Drapery/Window Treatments
- Fixtures, Finishes and Trims
- Cabinetry and Built-ins
- Product Branding
- Creative Direction 
- Business & Career Advice 
- and More!

I love helping others channel abundance, productivity and spiritual uplift through the built design environment.  Looking forward to helping you on your design project!  Are you ready for more satisfaction, balance, and beauty in your dwelling?  Then let’s chat! 😊"
Galina Holechek,"Founder of Yellow Alchemy Studio, bringing 10+ years in the field. We believe that good design is a partnership with you, the Client. 

Specializing in custom furniture, space planning, project managing, staging and custom high-end interiors.

Featured in Lonny Magazine & CA Home + Design.

We currently work on projects that range from full furnish spaces to new-builds with all of the bells and whistles, as well as personalized home staging for sale.

I love matching each clients style and requirement in and out, creating homes that reflect their unique aesthetic and lifestyle and feel deeply personal. 

With so many choices available for each finish item, YA knows how to give clients the confidence they need to feel at rest and excited with their selections, while pushing them when necessary to choose the things that will last and outlive the latest trend.

Things I can advise on: 
✔️ Advice on floor plan layout 
✔️ How to find the best pricing
✔️ Tips on my favorite vendors
✔️ Guidance on walls, furniture, & light fixtures
✔️ & more 

I am very passionate about sharing all of my learnings with others on similar journeys. Excited to connect!"
Rod Winterrowd,"Rod Winterrowd Inc. is a New York and Los Angeles based design firm specializing in interior design and interior architecture, with projects in New York City, The Hamptons, Connecticut, Palm Beach, Washington DC, Dallas, The Bahamas, Aspen, Los Angeles, Palm Springs, London, Saudi Arabia, and Mexico. Our work has been published in Architecture Digest, Elle Decor, Veranda, House Beautiful, The London Times, Palm Beach Chic & The Palm Beach Press to name the highlights. We also won The Ballinger Award presented annually for the best restoration of a landmarked property by The Preservation Society of Palm Beach.

After a decade as a Vice President at Walt Disney Studios, Rod moved to New York to attend Parsons School of Design. In 2003, Rod Winterrowd Inc. opened its New York City office on 5th Avenue. Principal Rod Winterrowd describes his style as ‘tailored, crisp, contemporary, yet steeped in classism. It is based on a contemporary interpretation of the formalist architectural principles and tenets of order and balance. We work with clients to create beautiful, classic interiors, for both new construction and remodels of existing properties”.

My philosophy is based on the following principles:
 • To offer superior service.
 • To begin each new project with a strategic plan that adheres to order, discipline, and organization, resulting in a project that is on time, on budget, and beautifully executed.
 • To foster a relationship between client and designer that translates into a home complimenting the taste and lifestyle of the client, not the designer. 
 • To operate in an atmosphere that fosters goodwill, teamwork, and collaboration among employees.
 • To recognize that all of our clients expect and deserve the highest levels of discretion.

What I can help you with :

-Floor plan layout 
-My favorite showrooms & stores
-Window treatments
-Finishes, paint selections
-Fabrics & wallpapers
-Editing & restyling 
-How to organize your start effectively…. and so much more.

Believe it or not, this is what I love doing. Of course, the big projects are always alluring, but this is lots of fun and brings me a great deal of joy.

www.rodwinterrowd.com"
Brad Ford,"Renowned Interior Designer with a strong hand in elevated craftsmanship and entrepreneurship. Based in NYC.

Featured: Arch Digest, House Beautiful, Elle Decor, & more

Brad’s interiors showcase signature designs that are understated yet sophisticated, and modern with a warm soul. Balance, scale, and proportion factor into every design, creating a timeless effect. Clean lines and well-crafted furnishings, with an attention to texture and the highest quality materials are Brad Ford ID essentials.

Alongside his bespoke design business, he has founded FAIR, a curated NYC furniture showroom that represents iconic designs as well as elevated craftsman from upstate NY, Denmark, Japan, and beyond.

Brad has also developed Field & Supply, a modern interpretation of a traditional arts and crafts fair that takes place twice a year over Columbus Day weekend and Memorial Day weekend at the Hutton Brickyards in Kingston, NY. It consists of a carefully curated selection of makers highlighting goods, old and new, from a variety of studios and workshops representing a wide range of crafts.

With his entrepreneurial sprit and organic process, Brad is well equipped to advise from both a design and business standpoint. 

Book Brad for:
- Interior Design Advice
- Furniture Layouts
- Resources to Consider
- Styling (surfaces, sofas, beds, walls etc.)
- Paint/Wall Treatments
- Drapery/Window treatments
- Color Palettes
- Fixtures, Finishes and Trims
- Cabinetry & Built-Ins
- Product Branding
- Creative Direction
- Business & Career Advice 
- And More!"
Sarah Copeland,"Award-winning author and food editor with 20+ years developing content for New York Times, Food Network, Food & Wine, Saveur, Real Simple, Martha Stewart Living, Crate and Barrel, Anthropolgie, King Arthur Flour, Williams Sonoma and more.

“People seek my expertise with everything from how to get a book deal, how to find a book agent, to crafting a book proposal, connecting with brands, getting started in publishing, how to pitch a story idea, best next moves in food writing and media, and so much more.” 

Other topics we can talk about:
✔️ Transitioning from full time to freelance/private work
✔️ How to figure out your hourly/daily/project rates
✔️ Moving your family abroad and/or back to US
✔️ Transitioning from restaurants/private chef work to food media
✔️ Work-life balance as a mother and entrepreneur
✔️ Starting and growing a food/wellness newsletter

If it relates to writing, food, health, nutrition, family or careers—I would love to help you make a leap."
Erin Sprinkel,"Erin + her business partner founded Sterling Social as a full-service event production company in 2010.  Based in Los Angeles, they’ve been highly recognized in the Entertainment and Lifestyle industries producing experiential brand events along with Social celebrations.

Over the years, Erin has worked in various luxury hotels, private estates, and with brands such as Variety, Women’s Wear Daily (WWD), Netflix, Amazon, TIME and Mercedes-Benz to name a few.

Things I can advise on:
- Event Planning + Design 
- Wedding Planning 
- Working with an Event Budget
- Creative direction
- Career Advice:  Event Industry + Building your Event Company 

I love helping others and can’t wait to help you plan your next event or guide your career in the event industry!"
Stephanie Abernathy,"Principal and co-founder at Studio Wellington, specializing in 
✔️ interior architectural finishes 
✔️space planning 
✔️creating curated classical interiors
✔️Adding whimsical touches to designs using inherited & found objects


ASID professional member, interior design degree from SCAD EDU. Experience in the US and UK. Based out of Atlanta, GA 

Studio Wellington featured in: Atlanta Homes & Lifestyles, Luxe, Modern Luxury, SouthernLiving.com"
Barrie Benson,"Interior Designer and Furniture Designer with 25 years of experience. 

Features: AD, WSJ, Coastal Living, Domino, Elle Dècor, Southern Living, and House Beautiful

Best known for balancing the modern with the traditional in her signature interiors

Signatures furniture lines with Highland House and a line of decorative hardware + accessories with Modern Matter.  

Things I can advise on:
- furniture layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career and business advice for aspiring designers
- cabinetry and built-in ideas
-product branding
-creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Ghislaine Viñas,"Ghislaine Viñas is an ELLE Decor A-List designer based in NYC. Originally from the Netherlands and raised in South Africa, she is known for her award-winning, international interior design, product design and creative direction. Guided by her instinctive intrigue for dramatic compositions and playful color contrasts, Ghislaine has produced her exuberant designs within the realms of residential, hospitality, and commercial interiors, as well as product design. She has led multiple partnerships with top home furnishings companies on extensive collections of custom pieces, bringing to life continued explorations of the studio’s appetite for out-of-bounds color play, formal idiosyncrasy, and boisterous scale.

Features: AD, Elle Decor, New York Times, Dwell, Interior Design Magazine & more. 

Awards: Elle Decor A-List, Interior Design Magazine’s Designer of the Year 2020 & more. 

https://www.ghislainevinas.com/

—

Things I can advise on: 

- Finding YOUR unique design aesthetic 
- How to introduce color into your interiors
- Tips on designing spaces that will make you smile 
- Curated styling advice 
- My favorite brands to shop 
- The bells and whistles: paint colors, wall and window treatments, furniture, fixtures, and finishes
- Tricks of the trade: licensing, building your brand and product design. 
- Mentorship advice about all things interior design from starting your career, navigating a career change, opening your own design studio, networking in NYC and more.

Let’s play design!"
Benjamin Reynaert,"Creative Director, Editor & Interiors Stylist for renowned interior publications such as Architectural Digest’s AD PRO, Elle Decor, House Beautiful, Domino & more

Currently Founder & Creative Director at Benjamin Reynaert Creative & Contributing Editor at Frederic & Domino magazines

I can help you with visual storytelling and content packaging across print, digital and social platforms

For Interior Designers, I can help you with:
- best practices for the photography and styling of your project
- tips for editing your portfolio and website visuals 
- sharing portfolio feedback 
- how best to describe your work and brand 
- identifying key differentiators 
- crafting your personal narrative 
- approach to social content, strategy and cadence 

I can also advise on:
- the art of personal decorating 
- brand and web feedback from an editorial lens 
- best practices for drafting a press release 
- crafting a compelling story
- content strategy
- growing your online presence
- brand partnerships
- breaking into the Home Industry
- Do’s & Don’ts of the editorial world
- interior styling 

I love helping others and look forward to helping you along your business or design journey!"
Mara Silber,"Renowned Interior Designer based in Bedford, NY

Best known for her warm approach to balancing timeless designs, quality materials, and rich textures, designing spaces that feel inviting and elevated. 

Featured in Architectural Digest, Elle Decor, Interior Design, Living in Style, and other leading publications.

Mara Silber began her career in New York City as a stylist and design consultant, before joining Mark Cunningham Inc., an Architectural Digest AD100 firm, in 2010 as a designer for high-end residential projects.

In 2015, Mara opened her own interior design firm servicing a range of residential and hospitality projects worldwide.  

Things I can advise on:
- advice on floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding 
- creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Denise Kuriger,"Denise is an internationally renowned interior designer based in NYC and working globally. 

In 2005, she founded her eponymous studio, Denise Kuriger Design (DKD), which has created timeless and purposefully-tailored environments for a portfolio of discerning, high-profile clients. 

DKDs projects have received recognition in a selection of top design publications, including Arch Digest, Luxe Interiors + Design, and Esquire.
 
A hallmark of Denise’s practice is her peerless command of scale, proportion, and light. Like a bespoke suit, her interiors are not only beautiful, but are designed to accommodate the best life that can be lived therein. The effect is a place of lasting appreciation, spaces immune to the inevitable downfall of trends and hype.
 
From a Belgravia pied-à-terre and Bahamian family escapes to Los Angeles offices, there are few design challenges Denise hasn’t encountered and overcome. 

In particular, she can help with: 
-Discovering your individual aesthetic. 
-Planning your design project and managing budgets.
-Floor plan layouts and styling ideas.
-Selecting the right materials, lighting, and furniture.
-Tips & tricks for storage and organisation.
-Store, brand, and artist recommendations.
-Child & family-friendly living.
-Career advice for aspiring designers.
 
From Denise: “The biggest thing I’ve learned in over 25+ years in interiors is that design is deeply personal. What is right for one will be wrong for another. I approach every project by thoroughly investigating the requirements and aspirations of a space to craft an environment that perfectly complements the client. Individual enjoyment and appreciation are my primary measures of success.”
 
Professional training:

After graduating with a BFA in Interior Design from New York Institute of Technology, Denise would work for two of the industry’s most prominent and prestigious design firms, Naomi Leff & Associates and Victoria Hagan Interiors, before establishing DKD in 2005."
Rydhima Brar,"Rydhima Brar is a Los Angeles-based interior designer and founder of R/terior Studio. Born in Kuwait, and Indian by heritage, she says her experiences as a child through adulthood have developed her aesthetic which she describes as luxe editorial, while being approachable and functional.

She is recognized for her interpretation of spaces that have a unique narrative and feel curated over time. She creates thoughtful spaces that not only reflect the clients lifestyles, heritage and personal journeys, but also balance functionality and budget. Rydhima believes in designing spaces that trigger a very specific emotion in the dweller's space, inspired by their favourite restaurant, city, movie or even a cocktail!

Rydhima is humbled to have been acknowledged as the House Beautiful Next Wave Designer and has been featured in Architectural Digest (US + Middle East), WSJ, Forbes, Vogue Arabia, Elle Decor, House Beautiful, Veranda, Interior Design, LUXE, Business of Home, to name a few. 

Work with Rydhima to discover your most stylish self and make bold decisions that are sophisticated + colorful yet approachable + functional and most importantly– distinctly YOU.

Things I can advise on:
- Furniture selection and placement
- Paint and wall treatments
- Floor plan layouts 
- Stores & brands to consider 
- Styling (shelves, walls, areas, etc)
- Fixtures, furnishes, trims
- Career advice for aspiring designers
& more!

Rydhima can't wait to connect with you and help you along your design journey! She can support and guide your design decisions and direction, and answer any of your questions!🙏🏻"
Tina Ramchandani,"Renowned interior designer based in New York City. Signature lifestyle aesthetic Soulful Minimalism®

Featured: Arch Digest, House Beautiful, Elle Decor, NBC, WSJ, Rooms We Love on Magnolia Network & more

Named “2018 Next Wave” designer by House Beautiful. 

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- cabinetry + built ins
- art & accessories
- career advice for aspiring designers
- product branding
- creative direction 
- and more!

I love creating gorgeous spaces and I can’t wait to help you with your project 😊"
Isabel Ladd,"⭐️The Ultimate Maximalist⭐️

Featured in: House Beautiful + Traditional Home + Elle Decor + HGTV + Business of Home + Kip’s Bay 

As a lover of color + patterns, Isabel creates happy interiors for happy clients! Her mix of old/new + antique/modern + high/low is a signature move.  

A few favorite mantras: 
More is More, Less is a Bore
Banish the Beige
Mix and DON’T Match

Things I can advise on:
- Floor plan layout 
- Make the most of what you have
- Styling!
- Paint colors
- Wallpaper
- Window treatments 
- Lighting, Furniture + Accessories 
- Career advice for aspiring designers
- and anything else design related!"
House of Nomad Design,"Renowned Interior Design Studio and Shop as seen in AD, Domino, RUE, and Real Simple. Founders and well traveled duo Kelley Lentini & Berkeley Minkhorst are experts in interior design, sourcing across the globe, and growing a retail business. 

Things we can advise on:
- floor plan suggestions
- shops, vendors and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint selections and color palettes
- window treatments
- tips on rug selection and sourcing 
- fixtures, finishes and trims
- cabinetry and built-in selections 
- career advice for aspiring designers or retail owners 
- creative direction and brand collaborations 
- sourcing and travel advice for designers 
- furniture, wallpaper and textile design 
- and more!"
Amanda Lauren,"I’m a Forbes Contributor, Interior Design Expert, and media consultant. In addition to my Forbes column, I’ve written about interior design for Real Simple (currently a contributor), Better Homes & Gardens, Real Homes, Reader’s Digest, The Spruce Eats, and Bob Vila, among other publications. I’ve also been featured on Good Morning America and Cheddar. Most recently, I moderated a panel for HomeThreads at KBIS. 

I’m here to discuss your design project (in a really fun, non-intimidating but honest way) or connect about working with media and PR.

Let’s chat about:

Your Home Decorating Project

- Creating a gorgeous space you’ll love for years to come (no design regrets!)
- Whether or not you should hire an interior designer IRL
- Where to shop
- The best places to get custom furniture (without hiring a designer)
- How to save money on your renovation
- How to incorporate bold colors tastefully
- How little changes can make a major impact
- How to design a kid’s room or nursery that can grow with your child 
- How to re-design your rental so you love it
Any design questions you may have

Media Relations
- How to get your brand featured in the media
- How to get your brand ready for media exposure
- Should you hire a publicist or go to it by yourself?
- When is the right time to hire a publicist?"
Michael Del Piero,"Interior Designer based in Chicago & the Hamptons

Specializing in large scale renovations and ground-up construction

Features: Arch Digest, House Beautiful, Lonny, Luxe, 1st Dibs, Business of Home & more

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- Decorative lighting selection
- Art curation 
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
-product branding
-creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Claudia Afshar,"Claudia Afshar Design is a Specialist High End Interior Design Studio with a transnational footprint. 
 
Claudia's exemplary portfolio featured in Architectural Digest and other prestigious publications, is rich in global inspirations revealing her vast knowledge of architecture, interiors and furniture history. Her clients range from families to bespoke brands, and from celebrities to high-end property developers. Her ability to visualize and interpret the personalized needs of such a diverse clientele, is reflected in her work and numerous testimonials. Claudia creates clean yet luxurious environments that remain timeless, functional and exude a sense of home.
 
Features: AD, Elle Decor, Dezeen, Vogue Living, & more
 
Awards: Recently announced Dezeen Awards Judge 2024, International Design & Architecture Awards 2022 Nominee, Stars of Design Awards 2023 Nominee
 
Collections: 
-Rug collection with Mehraban Rugs 
-Dekton UKIYO collection Cosentino
Coming Soon:
-Boyd Lighting 
-Baker Furniture"
Gil Melott,"Principal Designer of Gil Melott Studio | Gil Melott Bespoke based in Chicago | NYC . LA . TX

Specializing in high-end residential, boutique hospitality, but well suited for any project of any size or scope

Named Best Design Gallery by Modern Luxury Magazine 

Featured in: Arch Digest, Elle Decor, Chicago Magazine, AD Pro, Modern Luxury, NY Times, Dwell, Traditional Home, WSJ, Veranda, Galerie, Elle Decoration & Luxe Interiors

Winner of Interior Design Magazine’s Best of Year Award & Modern Luxury Magazine’s 50

Known for an unapologetic approach to seamlessly blending disparate textures and periods into a well-curated story for homes and public spaces | eclectic, modern and mindful 

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- art selection 
- career advice for aspiring designers
- cabinetry and built-ins
-product branding
-creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Nicole Fuller,"Nicole Fuller Interiors is a multi-faceted interior design firm based in New York City and Los Angeles

Specializing in high-end residential & commercial design projects

Clients: Matthew Stafford, Quest Love, Usher, Gianvito Rossi, Steven Klein, and Cass Bird, & more

Awards: ELLE Decor A-List, Luxe magazine’s Gold List, International Property award

I believe in a holistic approach and can help you in the following ways:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- textiles
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding
-creative direction 
- and more!

Looking forward to helping you on your design project 😊"
